place_name,district,state,category,latitude,longitude,tags,activities,best_season,vibe,description,rating,image_url,reviews,Sentiment Score,Sentiment Label
Devari Temple,Giridih,Jharkhand,Temple,24.342103,86.024009,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"The temple is dedicated to Goddess Durga in her 16-armed form (Solha Bhuji Maa), an incarnation of power, and features an ancient idol approximately 3–3.5 feet tall holding weapons like a bow, shield, flower, and trident. The temple’s construction uses interlocking stones without mortar, reflecting an ancient architectural style dating back to the 10th–12th century, with renovations carried out in later years for platform and Mandapa development. According to local legends, the temple was commissioned by King Kera, a Munda king, about 700 years ago. He was inspired to build it after regaining his kingdom following devotion at this sacred site. The temple melds tribal cultural traditions with Hindu practices: six tribal priests (Pahans) perform rituals for six days, while a Brahmin priest (Panda) conducts worship on one day, evidencing a unique tribal-Hindu ritual confluence.",4.4,https://cdn.s3waas.gov.in/s32b8a61594b1f4c4db0902a8a395ced93/uploads/2018/01/2018042838.jpg,No review text was available for this Temple in the source data.,,N/A (source reviews are about a different location)
Dimna Lake,Jamshedpur,Jharkhand,Lake,22.858634,86.25126015,"lake,nature,water,scenic","boating,picnic,photography,sightseeing",Winter,peaceful,"Dimna Lake in Jharkhand is a scenic artificial reservoir near Jamshedpur, known for its serene waters, surrounding greenery, and recreational activities. The lake lies at the foothills of the Dalma range, covering an area of approximately The lake was created by Tata Steel in 1944 to mitigate water scarcity in the rapidly growing city, sourcing water primarily from rainfall flowing through the Dimna Nala over an area of 36 square miles. Construction of Dimna Lake began in February 1940 and the water supply to Jamshedpur was first provided on April 17, 1944. Two composite dams, measuring 800 ft and 1,200 ft in length with a maximum height of 83 ft, help store and regulate the water supply for municipal and industrial purposes.",4.3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/e6/7e/20190810-134734-01-largejpg.jpg?w=1200&h=-1&s=1,No review text was available for this Lake in the source data.,0.66,Positive
Getalsud Dam,Ranchi,Jharkhand,Dam,23.447625,85.499325,"water,reservoir,scenic,nature","sightseeing,photography","Winter,Monsoon",peaceful,"Getalsud Dam, also known as Rukka Dam, is a scenic concrete gravity dam on the Subarnarekha River near Ranchi, Jharkhand, serving as a vital source of water and a popular picnic spot. Scenic Beauty: The dam offers tranquil waters, expansive views of the reservoir, and lush surroundings on one side suitable for picnics and outdoor relaxation. Sunrise and sunset at the dam are especially picturesque. Popular Activities: Picnicking, leisurely walks, small-scale fishing for locals, and photography.",4.1,https://upload.wikimedia.org/wikipedia/commons/8/83/Getalsud_Dam%2C_Jharkhand.jpg,"Jonha Falls is a scenic, well-regarded waterfall near Ranchi, especially lush during monsoon — though reaching it requires descending (and later climbing back up) around 500 steps, which can be tough for seniors.",,N/A (source reviews are about a different location)
Ghaghri Falls,Netarhat,Jharkhand,Waterfall,23.49782649,84.26272171,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Lower Ghaghri Falls is a stunning waterfall near Netarhat, Jharkhand, nestled in dense forests and renowned for its tranquil beauty, cultural significance, and natural splendor. The waterfall is surrounded by dense forest of the Chotanagpur Plateau, with thick trees and lush greenery that block direct sunlight, creating a serene and magical atmosphere. Visitors can experience the calming sounds of falling water and enjoy spotting birds, butterflies, and small forest animals TravelSetu+2. The local tribal communities hold the falls and river as sacred, using the water in rituals and harvest festivals. Folk tales speak of the waterfall as the voice of a forest goddess protecting the land.",4.1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/c7/14/lower-ghagri-falls.jpg?w=1200&h=1200&s=1,No review text was available for this Waterfall in the source data.,,N/A (source reviews are about a different location)
Harihar Dham,Giridih,Jharkhand,Temple,24.07069908,85.82158434,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Harihar Dham, situated in Bagodar, Giridih, Jharkhand, is renowned for housing the world's tallest Shivalinga, attracting devotees and tourists alike. The Shivalinga standing 65 feet tall, is recognized as the largest in the world, symbolizing the infinite might and grace of Lord Shiva. Temples within the premises include a temple for Radha-Krishna and other smaller shrines. Maha Shivratri is one of the main festivals, attracting a large number of devotees.",4.4,https://imgs.search.brave.com/FxJ1TCncJRGirK7AG6bHYSbJFWe1MCoapTUxnNzi-yw/rs:fit:500:0:1:0/g:ce/aHR0cHM6Ly93d3cu/dHVza3RyYXZlbC5j/b20vYmxvZy93cC1j/b250ZW50L3VwbG9h/ZHMvMjAyMS8wMi9I/YXJpaGFyLURoYW0t/aW4tR2lyaWRpaC1K/aGFya2hhbmQtMTAy/NHg3NjguanBn,No review text was available for this Temple in the source data.,,N/A (source reviews are about a different location)
Hazaribagh Lake,Hazaribagh,Jharkhand,Lake,24.01077289,85.3615097,"lake,nature,water,scenic","boating,picnic,photography,sightseeing",Winter,peaceful,"Hazaribagh Lake is a serene, man-made lake located in the heart of Hazaribagh, Jharkhand, offering boating, scenic sunset views, and family-friendly attractions. Hazaribagh Lake is a series of artificial lakes divided into seven interconnected parts, allowing water to spill naturally from one level to another, creating a unique cascading effect. While smaller compared to India’s larger lakes, it is an important local landmark and a popular spot for tourists and residents seeking relaxation and scenic beauty of Hazaribag District. Boating is available across the lakes for leisure and enjoyment.",4.1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/27/70/fb/hazaribagh-lake.jpg?w=1200&h=-1&s=1,"Hazaribagh Lake is a popular evening spot with boating, a cafeteria, and pleasant sunset views, and is especially well-loved by joggers and families.",0.936,Positive
Hazaribagh Wildlife Sanctuary,Hazaribagh,Jharkhand,Wildlife,24.14305528,85.3822027,"forest,wildlife,nature","safari,photography",Winter,adventurous,"Hazaribagh Wildlife Sanctuary is a historical and ecologically rich sanctuary in Jharkhand, India, offering diverse wildlife, scenic forests, and accessible nature experiences across 186 square kilometers. Area: Approximately 186 sq km (71 sq mi). Elevation: Average 615–600 m (2,018–2,000 ft) on a hilly plateau. Accessibility: Well connected by NH-33, with entrances at Pokhariya Gate (main gate), Salparni Gate, and Bahimar Gate.",4.1,https://imgs.search.brave.com/EeymX6anL3q1-ze4AGbBelZz8GnFQScLOy2S0r5IWYE/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZXMuYmV5b25keWF0/cmEuY29tL2Rlc3Qv/bWFpdGhvbi9wbGFj/ZXMvaGF6YXJpYmFn/aC1uYXRpb25hbC1w/YXJrLWpoYXJraGFu/ZC1pbmRpYV9pbWdf/MS5qcGc,No review text was available for this Wildlife in the source data.,,N/A (source reviews are about a different location)
Hirni Falls,West Singhbhum,Jharkhand,Waterfall,22.8076599,85.3645098,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Hirni Falls is a breathtaking 37-meter (121 ft) waterfall nestled in the dense forests of West Singhbhum, Jharkhand, offering a scenic and tranquil natural escape. District: West Singhbhum, Jharkhand, India Elevation: Hirni Falls is situated around Bandgaon near the edge of the Ranchi plateau. The falls cascade down from rocky terrain, creating a broad torrent amidst untouched dense forests. The area is characterized by winding canopy-covered paths with miniature rivulets that give the landscape a distinctive and captivating appearance Jharkhand State Portal+1.",4.3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/40/af/ec/hirni-falls.jpg?w=1200&h=-1&s=1,"Birsa Deer Park (Ormanjhi Zoo) is a large, well-maintained zoological park about 28km from Ranchi with a wide variety of animals, boating, and battery rickshaws to make the roughly 4-hour full tour easier.",,N/A (source reviews are about a different location)
Hundru Falls,Ranchi,Jharkhand,Waterfall,23.4505832,85.6661142,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Hundru Falls is a spectacular 98-meter (322-feet) waterfall in Ranchi District, Jharkhand, formed by the Subarnarekha River as it plunges off the Chota Nagpur Plateau into a natural pool below. It is one of the highest waterfalls in Jharkhand, drawing visitors for its dramatic cascade, surrounding forest scenery, and opportunities for trekking and picnicking. The waterfall site, located roughly 45 kilometers from Ranchi, is a popular day-trip destination and one of the region's most photographed natural landmarks.",4.3,https://upload.wikimedia.org/wikipedia/commons/b/be/Hundru_Falls%2C_Jharkhand%2C_India_4.jpg,No review text was available for this Waterfall in the source data.,0.856,Positive
Jagannath Temple,Bokaro,Jharkhand,Temple,23.3168885,85.2818038,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Jagannath Temple Bokaro is a prominent Hindu temple dedicated to Lord Jagannath and serves as an important religious landmark in Bokaro. Inspired by the architectural style of the famous Jagannath Temple of Puri, the temple attracts devotees and visitors throughout the year. Its peaceful surroundings, cultural significance, and role in local festivals make it a popular destination for those interested in spirituality, heritage, and community traditions.",4.6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/4c/75/58/jagannath-temple.jpg?w=1200&h=1200&s=1,No review text was available for this Temple in the source data.,,N/A (no review data)
Jaisar Children's Park,Deoghar,Jharkhand,Park,24.49915701,86.6973715,"nature,greenery","walking,picnic,relax,photography","Winter,Spring",family-friendly,"Jaisar (Jalsar) Children's Park is a popular urban play area in Deoghar, Jharkhand, offering numerous rides and leisure activities for children and families.The park features various rides for kids, including a wonder wheel, toy train, see-saw, and other playful installations that are ideal for children to enjoy and engage actively. The park offers a mix of natural and planted scenery, including grassy areas, trees, and safe play zones, suitable for family outings. The park is set in the city, making it convenient to combine a visit with other nearby sights in Deoghar, including spiritual attractions like Baidyanath Temple and Shravan-related events.",4,https://www.touristplaces.net.in/images/pp/5/p113691.jpg,No review text was available for this Park in the source data.,,N/A (no review data)
Jawaharlal Nehru Biological Park,Bokaro,Jharkhand,Wildlife,23.68063408,86.15333631,"forest,wildlife,nature","safari,photography",Winter,adventurous,"Jawaharlal Nehru Biological Park in Bokaro Steel City is Jharkhand's largest zoological garden, renowned for its diverse wildlife, including white tigers and Asiatic lions, offering a fun and educational experience for families and nature enthusiasts. Established in 1989 and managed by Bokaro Steel Plant under the Steel Authority of India Limited, the park spans approximately 200 acres and is the largest zoological garden in the state. It was named in honor of India's first Prime Minister, Pandit Jawaharlal Nehru. Home to a wide variety of animals including white tigers, Asiatic lions, elephants, bears, reptiles, and exotic birds from different parts of the world. Successful breeding programs have been conducted for species like white tigers and royal Bengal tigers.",4,https://imgs.search.brave.com/QLUu9Kx7Ju_IrLKxSGtzl88T6pdjHDT0lLEpbyg9xuo/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9keW5h/bWljLnRvdXJ0cmF2/ZWx3b3JsZC5jb20v/aG90c3BvdC1pbWFn/ZXMvamF3YWhhcmxh/bC1uZWhydS1iaW9s/b2dpY2FsLXBhcmst/Ym9rYXJvLTU3NTQu/anBn,"A large, well-run zoo near Jagannath Temple in Bokaro's sector 4, home to white tigers, Asiatic lions and many bird species, and a popular family outing spot — though some visitors flag intrusive policing near tourists and a decline in animal numbers over recent years.",0.778,Positive
Jonha Falls,Ranchi,Jharkhand,Waterfall,23.3420327,85.6084101,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Jonha Falls, also known as Gautam Dhara, is a picturesque waterfall near Ranchi, Jharkhand, offering scenic views, serene surroundings, and cultural significance. Watercourse: Raru River, which cascades over the Ranchi plateau forming a hanging valley waterfall. Height: The falls are a hanging valley type, created by a knick point in the river’s gradient, which causes the water to fall vertically. A temple dedicated to Lord Gautama Buddha is situated atop Gautam Pahar near the falls, built by the sons of Baldeo Das Birla.",4.5,https://upload.wikimedia.org/wikipedia/commons/1/17/Jonha_falls.jpg,"Kanke Dam is a peaceful, uncrowded dam with boating and scenic sunset views, well-maintained but relatively modest in scale compared to other dams in the region.",0.69,Positive
Jubilee Lake,Jamshedpur,Jharkhand,Lake,22.8124274,86.19951278,"lake,nature,water,scenic","boating,picnic,photography,sightseeing",Winter,peaceful,"Jubilee Lake, located in the heart of Jamshedpur, Jharkhand, is a scenic lake surrounded by lush greenery, offering boating, fishing, and family-friendly recreational activities in the larger Jubilee Park area. Jubilee Lake is also known as Jayanti Sarovar and forms a central feature of the park's landscape. It is surrounded by gardens, walking paths, a laser light auditorium, and the Tata Steel Zoological Park. The park, including the lake, covers an area of around 200 acres and was opened to the public in 1958 to mark the golden jubilee of Jamshedpur and gifted by Tata Steel. Boating: Paddle boats are available for rent, providing a calm and scenic ride around the lake.",4.3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/56/d7/07/jubilee-lake.jpg?w=1200&h=-1&s=1,No review text was available for this Lake in the source data.,0.96,Positive
Jubilee Park,Jamshedpur,Jharkhand,Park,22.8088065,86.19762876,"nature,greenery","walking,picnic,relax,photography","Winter,Spring",family-friendly,"Jubilee Park is a sprawling, well-maintained urban park in Jamshedpur, Jharkhand, offering gardens, a zoo, lake, amusement facilities, and recreational activities for visitors of all ages. The park was inspired by the Brindavan Gardens in Mysore and designed by architect Joseph Allen Stein, often referred to as the ""Mughal Gardens of Jamshedpur"". It opened on the city’s golden jubilee and features landscaped gardens, fountains, and vibrant flower beds. Gardens & Landscaping: Water Features: Jayanti Sarovar, a central man-made lake with Bat Island, and colorful musical fountains.",4.4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e2/a5/9a/jubilee-park.jpg?w=1200&h=-1&s=1,No review text was available for this Park in the source data.,0.942,Positive
Kanke Dam,Ranchi,Jharkhand,Dam,23.3973838,85.3028826,"water,reservoir,scenic,nature","sightseeing,photography","Winter,Monsoon",peaceful,"Kanke Dam is a picturesque artificial reservoir near Ranchi, Jharkhand, offering serene views, recreational activities, and a popular spot for sunrise and sunset watching. It lies at the foothills of the Gonda Hills, adjacent to the Rock Garden, providing a scenic backdrop. Size: Covers an expanse of about sq km. Function: Supplies potable water to nearly half of Ranchi’s population and serves irrigation purposes. Structure: Earthen dam built on the Potpoto River with boulder pitching that requires periodic maintenance; the dam’s top is a paved PCC road.",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3a/42/ca/kanke-dam.jpg?w=600&h=-1&s=1,"Patratu Dam is a popular, scenic dam known for beautiful sunsets and a good boating facility with life jackets — though the on-site government-run restaurant gets consistent complaints for poor service and limited dining options.",0.751,Positive
Khandoli Park,Giridih,Jharkhand,Park,24.2329145,86.3442481,"nature,greenery","walking,picnic,relax,photography","Winter,Spring",family-friendly,"Khandoli Park in Giridih, Jharkhand, is a scenic destination combining natural beauty, adventure sports, and family-friendly recreational facilities. Khandoli Dam & Lake, provides water-related adventure activities like boating, speed boating, canoeing, paddleboats. It spreads over acres, featuring toy trains, swings, elephant and camel safaris, and rides suitable for children and families. You could find various adventure sports like Rock climbing, rappelling, river crossings, trekking, hot air ballooning, paragliding, parasailing, kayaking, making it an adventure tourism hub. Moreover, Khandoli is a winter habitat for migratory birds like Siberian crane, bar-headed goose, mallards, and Brahminy shelduck, attracting birdwatchers.",4.1,https://upload.wikimedia.org/wikipedia/commons/5/5b/Khandoli.jpg,"Khandoli Park combines a hill, dam, and park in one visit, with boating, horse riding, and kids' play areas at an affordable entry fee — reviews here were consistently positive.",0.788,Positive
Koel View Point,Netarhat,Jharkhand,Viewpoint,23.485882,84.277477,"hills,scenic,nature","trekking,sightseeing,photography",Winter,peaceful,"Koel View Point in Netarhat, Jharkhand, offers a spectacular panorama of the North Koel River and the surrounding lush forests, making it a must-visit destination for nature lovers and photographers. The viewpoint looks out over the North Koel River as it winds through the Chotanagpur Plateau and dense forests of Palamu, especially striking during sunrise and sunset when the river catches the light. Flanked by pine forests, the spot is well-suited for trekking and landscape photography.",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/98/6a/64/2021.jpg?w=1200&h=-1&s=1,No review text was available for this Viewpoint in the source data.,,N/A (source reviews are about a different location)
Konar Dam,Hazaribagh,Jharkhand,Dam,23.944375,85.7494375,"water,reservoir,scenic,nature","sightseeing,photography","Winter,Monsoon",peaceful,"Konar Dam in Jharkhand is a multipurpose reservoir built on the Konar River, serving flood control, irrigation, water supply, and recreational purposes, and it offers scenic landscapes for visitors. Konar Dam, the second major dam in the first phase of the Damodar Valley Corporation, was constructed across the Konar River, a tributary of the Damodar River. It was established in 1948 after devastating floods in 1943, aimed to control flooding, provide irrigation water, and support electricity and industrial growth across the Damodar basin. Konar Dam was planned alongside Tilaiya, Maithon, and Panchet dams under a multipurpose development scheme.",4.1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/26/ee/f8/konar-dam.jpg?w=600&h=-1&s=1,"Konar Dam is a clean, well-maintained spot with scenic forest and river views, good for a peaceful day trip — though it lacks boating and nearby restaurants.",0.852,Positive
Lawapani Falls,Lohardaga,Jharkhand,Waterfall,23.59772794,84.54576141,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Lawapani Falls in Madanpur village, Jharkhand, is a scenic tiered waterfall and a popular picnic and tourist spot surrounded by lush green hills. 1/5 stars by 253 users Lawapani Falls is surrounded by blue hills and greenery, making it a tranquil location for a picnic. Visitors often enjoy trekking the nearby forest paths, capturing photographs, and spending leisure time amidst nature. The waterfall flows in a stepped manner rather than a perpendicular fall, adding a unique charm to the site. From there, visitors can hire a taxi or drive to the falls.",4,https://upload.wikimedia.org/wikipedia/commons/1/17/Lawapani_Waterfall.jpg,No review text was available for this Waterfall in the source data.,,N/A (source reviews are about a different location)
Lodh Falls,Latehar,Jharkhand,Waterfall,23.4788615,84.018629,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Lodh Falls, also known as Budha Ghagh, is the highest waterfall in Jharkhand, cascading approximately 468 feet within the lush forests of Latehar district, providing a spectacular natural experience. The area retains a peaceful and relatively untouched environment, providing opportunities for trekking, picnic spots, and photography. Access: From Netarhat, travelers can drive to Latehar (~ A wooden footbridge provides excellent viewing points. Precautions: Avoid swimming near the base due to deep waters, wear trekking shoes, use handrails where available, and avoid visiting after dark.",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d8/92/f3/lodh-falls-are-the-highest.jpg?w=1200&h=-1&s=1,Panchghagh Falls is a multi-stage waterfall with a scenic access road and nearby dam for boating; water flow drops significantly outside monsoon. Two of the four scraped reviews were actually about an unrelated waterfall in Karnataka and were excluded.,,N/A (source reviews are about a different location)
