place_name,district,category,latitude,longitude,tags,activities,best_season,vibe,image_url
Bahu Fort & Temple,Jammu,Temple,32.7313513,74.8832877,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/88/31/df/loved-it.jpg?w=1200&h=-1&s=1
Buddha Amarnath Temple,Poonch,Temple,33.8023838,74.2617643,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/Budha_amarnath.jpg
Ranbireshwar Temple,Jammu,Temple,32.7346866,74.8640795,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/59/da/58/beautiful.jpg?w=1200&h=-1&s=1
Aru valley,Pahalgham,Hill Station,34.090833,75.263333,"river,water,nature,scenic","rafting,valley sightseeing, and pony rides",All Season,peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/dc/15/aru-city.jpg?w=1200&h=-1&s=1
Dah & Hanu,Leh,Hill Station,34.6025,76.5112,"village,culture,heritage","sightsee, culture tour","Summer,Autumn",cultural,https://discoverlehladakh.in/wp-content/uploads/2020/11/Hanu-Yogma-village-of-Dah-Hanu-valley-of-Ladakh-960x530.jpg
Kishtwar,Kishtwar,Hill Station,33.311199,75.769699,"nature,valley,forest","trekking,sightsee","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/kishtwar-tourism.jpg
Patnitop,Udhampur,Hill Station,33.07778,75.326912,"hill station,nature,snow","sightsee, adventure,skiing","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/patnitop-tourism.jpg
Sonamarg,Ganderbal,Hill Station,34.30146,75.29252,"valley, nature,glacier","trekking,sightsee,sledding","Summer,Winter",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a5/9b/89/thajiwas-glacier.jpg?w=600&h=-1&s=1
Srinagar,Srinagar,Hill Station,34.083656,74.797371,"city,lake,heritage, culture","boating,sightsee,shopping",All Season,cultural,https://www.tourmyindia.com/socialimg/srinagar-tourism-kashmir.jpg
Gulmarg,Baramulla,Hill Station,34.0853,74.3805,"hill station,nature,snow","skiing, gondola,ride,sightsee","Winter,Summer",scenic,https://mnmtravels.in/images/blogs/c4b7d41b422c25a8591d521141c7322f.png
Shalimar Garden,Srinagar,Garden,34.1497073,74.873228,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shalimar_Bagh_1.jpg
Nishat Bagh,Srinagar,Garden,34.1253466,74.8815312,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/7a/66/d8/when-shah-jahan-saw-the.jpg?w=900&h=500&s=1
Chashma Shahi,Srinagar,Garden,34.085833,74.864722,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/chashme-shahi-srinagar.jpg
Pari Mahal,Srinagar,Garden,34.0778,74.8761,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,"https://assets.cntraveller.in/photos/61eff70d4d495b4b023dc466/3:2/w_1620,h_1080,c_limit/parimahal%20lead.jpg"
Harwan Garden,Srinagar,Garden,34.1596124,74.9042444,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/harwan-garden1.jpg
Sudh Mahadev,Udhampur,Temple,33.0232,75.3625,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.jktdc.co.in/img/places/shudh.jpg
Babor Temple,Udhampur,Temple,32.8682,75.1233,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://i0.wp.com/blog.templesofindia.org/wp-content/uploads/2021/10/WhatsApp-Image-2021-10-02-at-15.15.14.jpeg?fit=960%2C442&ssl=1
Peer Kho Temple,Jammu,Temple,32.7441,74.8778,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/84/ec/89/great-view.jpg?w=600&h=600&s=1
Peer Mitha,Jammu,Muslim pilgrimage,32.735,74.869,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/ziarat-peer-mitha.jpg
Peer Budhan Ali Shah or Peer Baba,Jammu,Muslim pilgrimage,32.6894,74.8292,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/peer-budhan-ali-shah.jpg
Charar-e-sharif,Budgam,Muslim pilgrimage,33.8625,74.8422,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://charzanholidays.com/wp-content/uploads/2024/09/chrar-e-shareef_charzan_holidays.jpg
Hazratbal mosque,Srinagar,Muslim pilgrimage,34.1292,74.8422,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/f/f0/HAZRATBAL_SHRINE_01.JPG
Khanqah-e-moulah,Srinagar,Muslim pilgrimage,34.0931,74.8105,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/9/9a/Mausoleum_of_Shah_e_Hamadan_01.JPG
Takht-e-Suleiman,Srinagar,Muslim pilgrimage,34.0789,74.8145,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f2/9d/88/takht-e-seleman.jpg?w=1200&h=1200&s=1
Rizong Monastery,Leh,Buddhist pilgrimage,34.2474,76.7744,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://c8.alamy.com/comp/2FYJDYE/rizong-monastery-with-view-of-himalayan-mountians-it-is-a-famous-buddhist-temple-inleh-ladakh-jammu-and-kashmir-india-2FYJDYE.jpg
Likir Monastery,Leh,Buddhist pilgrimage,34.27667,77.215,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://brownchinarkashmir.com/wp-content/uploads/2025/03/Likir-Monastery_brown_chinar_kashmir.webp
Lamayuru Monastery,Leh,Buddhist pilgrimage,34.2828,76.7744,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.eladakhtourism.com/images/lamayuru-monastery.jpg
Shey Monastery,Leh,Buddhist pilgrimage,34.0716,77.6115,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.tourmyindia.com/socialimg/shey-monsatery-leh.jpg
Stakana Monastery,Leh,Buddhist pilgrimage,33.996,77.69,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://d1bv4heaa2n05k.cloudfront.net/user-images/1488963107707/7shutterstock-263762033_main_1488963136953.jpeg
Thiksey Monastery,Leh,Buddhist pilgrimage,34.0566,77.667,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.authenticindiatours.com/app/uploads/2022/04/Thiksey-Monastery-Leh-Ladakh-Jammu-and-Kashmir.jpg
Spituk Monastery,Leh,Buddhist pilgrimage,34.1364,77.4984,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.tourmyindia.com/socialimg/spituk-monsatery-ladakh.jpg
Stongdey Monastery,Kargil,Buddhist pilgrimage,34.286,33.5192,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://imgs.search.brave.com/R5e2xRghRa1xSAU09VcmqI0_FKt4Qi2aURAkiTtSJg4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zN2Fw/MS5zY2VuZTcuY29t/L2lzL2ltYWdlL2lu/Y3JlZGlibGVpbmRp/YS9zdG9uZ2RleS1t/b25hc3RlcnktMS1h/dHRyLWhlcm8_cWx0/PTgyJnRzPTE3MjY2/Njc4NTg5MDE
Gurudwara Shri Guru Nanak Dev Ji,Poonch,Sikh pilgrimage,34.1526,33.77,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/jammu-Gurdwara-Guru-Nanak-Dev.jpg
Nangli Sahib Gurudwara,Poonch,Sikh pilgrimage,33.77,33.7864,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,https://imgs.search.brave.com/mTNXCZQ6zjjiOyYXnX3Ycgv31vN0kqwoXY_3uYilTTY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly92ZWxw/dS5jb20vYWRtaW4v/dXBsb2Fkcy90ZW1w/bGVfaW1hZ2VzL2Jp/Zy9iaWdfMTIyOTE1/ODUyOTUxNDMuanBn
Chhatti Padshahi Gurudwara,Srinagar,Sikh pilgrimage,34.0837,34.1039,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.trawell.in/admin/images/upload/509714714Chatti_Padshahi_Gurudwara_Main.jpg
