place_name,district,state,category,latitude,longitude,tags,activities,best_season,vibe,image_url,rating,Sentiment_score,Sentiment_label,feedback
Dal Lake,Srinagar,Jammu and Kashmir,Lake,34.1137233,74.8700063,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg,4.3,0.992,Positive,"A famous urban lake in Srinagar known for shikara boat rides across permissible ghats 5 to 9 and its houseboat culture. Visitors love the calm waters and scenic beauty, but many report polluted water, sunken or abandoned houseboats, and persistent hawkers who pressure tourists into overpriced purchases mid-ride. Agreeing on a fixed price (locals suggest around 700 INR per person) before boarding is commonly recommended."
Gulmarg,Baramulla,Jammu and Kashmir,Hill Station,34.0853,74.3805,"hill station,nature,snow","skiing, gondola,ride,sightsee","Winter,Summer",scenic,https://mnmtravels.in/images/blogs/c4b7d41b422c25a8591d521141c7322f.png,4.7,,,No review text was available for this Hill Station in the source data.
Gurudwara Shri Guru Nanak Dev Ji,Poonch district,Jammu and Kashmir,Sikh pilgrimage,34.1526,33.77,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/jammu-Gurdwara-Guru-Nanak-Dev.jpg,4.4,,,No review text was available for this Sikh pilgrimage in the source data.
Harwan Garden,Srinagar,Jammu and Kashmir,Garden,34.1596124,74.9042444,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/harwan-garden1.jpg,4.2,0.998,Positive,"A Mughal-style garden in Srinagar with a mixed reputation: some visitors describe its fountains as no longer working and the grounds as fairly ordinary, while others still enjoyed the food, views, and overall atmosphere despite nearby traffic congestion."
Hazratbal mosque,Srinagar,Jammu and Kashmir,Muslim pilgrimage,34.1292,74.8422,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/f/f0/HAZRATBAL_SHRINE_01.JPG,4.2,0.997,Positive,"Considered the holiest Muslim shrine in Kashmir, this white-domed mosque sits on the banks of Dal Lake in Srinagar and houses a relic believed to be a hair of the Prophet Muhammad (the Moi-e-Muqqadas). Visitors describe it as peaceful, serene, and beautifully built, though women are not permitted inside the main prayer hall."
Khanqah-e-moulah,Srinagar,Jammu and Kashmir,Muslim pilgrimage,34.0931,74.8105,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/9/9a/Mausoleum_of_Shah_e_Hamadan_01.JPG,4.8,,,No review text was available for this Muslim pilgrimage in the source data.
Kishtwar,Kishtwar,Jammu and Kashmir,Hill Station,33.311199,75.769699,"nature,valley,forest","trekking,sightsee","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/kishtwar-tourism.jpg,4.4,,,No review text was available for this Hill Station in the source data.
Lamayuru Monastery,Leh,Ladakh,Buddhist pilgrimage,34.2828,76.7744,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.eladakhtourism.com/images/lamayuru-monastery.jpg,3.9,0.644,Positive,"Reviewers describe a highly decorated, colorful old monastery with valley views, though air pollution has at times obscured the scenery."
Likir Monastery,Leh,Ladakh,Buddhist pilgrimage,34.27667,77.215,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://brownchinarkashmir.com/wp-content/uploads/2025/03/Likir-Monastery_brown_chinar_kashmir.webp,4.4,0.991,Positive,"Located roughly 50-55km west of Leh, Likir Monastery (Likir Gompa) is known for its large 10-metre golden Buddha statue, a small museum of Tibetan wood and stone artwork, and a newer Dukhang hall with an intricately detailed 3D mandala — all set within scenic Ladakh landscapes."
Mansar Lake,Samba,Jammu and Kashmir,Lake,32.6972343,75.1449155,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/mansar-lake.jpg,4.3,0.863,Positive,"A holy lake in Samba with panoramic views and temple shrines on its banks, most notably Shesh Nag Mansa. Free entry (paid parking) draws families for fish feeding, camel rides, children's games, and lakeside walks, along with some wildlife sightings. Visitors flag littering around the site and call for better maintenance funding."
Nagin Lake,Srinagar,Jammu and Kashmir,Lake,34.1156932,74.8294934,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.kashmir-tourism.com/img2/3.jpg,4.2,,,No review text was available for this Lake in the source data.
Nangli Sahib Gurudwara,Poonch district,Jammu and Kashmir,Sikh pilgrimage,33.77,33.7864,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,https://imgs.search.brave.com/mTNXCZQ6zjjiOyYXnX3Ycgv31vN0kqwoXY_3uYilTTY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly92ZWxw/dS5jb20vYWRtaW4v/dXBsb2Fkcy90ZW1w/bGVfaW1hZ2VzL2Jp/Zy9iaWdfMTIyOTE1/ODUyOTUxNDMuanBn,4.7,,,No review text was available for this Sikh pilgrimage in the source data.
Nishat Bagh,Srinagar,Jammu and Kashmir,Garden,34.1253466,74.8815312,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/7a/66/d8/when-shah-jahan-saw-the.jpg?w=900&h=500&s=1,4.8,,,No review text was available for this Garden in the source data.
Pangong Lake,Leh,Ladakh,Lake,33.752491,78.668243,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/pangong-lake-ladakh.jpg,5.0,,,No review text was available for this Lake in the source data.
Pari Mahal,Srinagar,Jammu and Kashmir,Garden,34.0778,74.8761,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,"https://assets.cntraveller.in/photos/61eff70d4d495b4b023dc466/3:2/w_1620,h_1080,c_limit/parimahal%20lead.jpg",4.2,0.987,Positive,"A seven-terraced Mughal-era garden perched on the Zabarwan Range in Srinagar, whose structure reflects a history moving from a Buddhist monastery to an Islamic center of learning. It offers panoramic views of Srinagar and Dal Lake for a modest entry fee of around ₹30, and sits close to Chashme Shahi and the Botanical Garden — considered one of Srinagar's best gardens, especially at sunset."
Patnitop,Udhampur,Jammu and Kashmir,Hill Station,33.07778,75.326912,"hill station,nature,snow","sightsee, adventure,skiing","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/patnitop-tourism.jpg,4.2,,,No review text was available for this Hill Station in the source data.
Peer Budhan Ali Shah or Peer Baba,Jammu,Jammu and Kashmir,Muslim pilgrimage,32.6894,74.8292,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/peer-budhan-ali-shah.jpg,4.8,,,No review text was available for this Muslim pilgrimage in the source data.
Peer Kho Temple,Jammu,Jammu and Kashmir,Temple,32.7441,74.8778,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/84/ec/89/great-view.jpg?w=600&h=600&s=1,4.7,,,No review text was available for this Temple in the source data.
Peer Mitha,Jammu,Jammu and Kashmir,Muslim pilgrimage,32.735,74.869,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/ziarat-peer-mitha.jpg,3.9,0.969,Positive,"A roughly 650-year-old Ziarat (shrine) in Jammu holding the Mazhar of Peer Mitha Sahab, tucked within the city's old quarter close to Jammu Airport. Visitors value its peaceful surroundings and architectural detail, though the approach street has narrowed due to congestion."
Raghunath Temple,Jammu,Jammu and Kashmir,Temple,32.7317607,74.8584316,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.tourmyindia.com/states/jammu-kashmir/image/raghunath-temple.jpg,4.3,0.986,Positive,"One of North India's largest Hindu temple complexes, dedicated mainly to Lord Ram with over 33,000 idols and full statues depicting the Dashavatara, plus a significant Shiva shrine on the complex's fourth side. Visitors describe a peaceful, well-organized darshan with knowledgeable priests. A respectful dress code (no shorts) is expected along Raghunath Bazaar."
Ranbireshwar Temple,Jammu,Jammu and Kashmir,Temple,32.7346866,74.8640795,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/59/da/58/beautiful.jpg?w=1200&h=-1&s=1,4.5,0.992,Positive,"A historic Shiva temple in Jammu known for its calm, peaceful atmosphere and a notable crystal Shivling, alongside a large collection of roughly 1.25 lakh Shivlings on display. Considered a must-visit heritage site for those in the city."
Rizong Monastery,Leh,Ladakh,Buddhist pilgrimage,34.2474,76.7744,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://c8.alamy.com/comp/2FYJDYE/rizong-monastery-with-view-of-himalayan-mountians-it-is-a-famous-buddhist-temple-inleh-ladakh-jammu-and-kashmir-india-2FYJDYE.jpg,5.0,,,No review text was available for this Buddhist pilgrimage in the source data.
Shalimar Garden,Srinagar,Jammu and Kashmir,Garden,34.1497073,74.873228,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shalimar_Bagh_1.jpg,4.2,0.999,Positive,"A Mughal-era terraced garden in Srinagar known for its Chinar trees, water cascades, and flower beds, with mountain and Dal Lake views that make it especially photogenic at sunset. It's a regular stop on Srinagar sightseeing itineraries; visitors recommend an early morning or evening visit to avoid the strong midday sun."
Shankracharya Temple,Srinagar,Jammu and Kashmir,Temple,34.078922,74.841535,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/9/9b/The_Ancient_Shankaracharya_Temple_%28Srinagar%2C_Jammu_and_Kashmir%29_%28cropped%29.jpg,4.5,0.994,Positive,"A hilltop Shiva temple in Srinagar reached by climbing over 240 steep steps, rewarding visitors with 360-degree panoramic views of Srinagar, Dal Lake, the Jhelum River, and the surrounding snow-capped mountains. Restrooms are available for a small fee of around ₹10."
Shey Monastery,Leh,Ladakh,Buddhist pilgrimage,34.0716,77.6115,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.tourmyindia.com/socialimg/shey-monsatery-leh.jpg,3.8,0.995,Positive,"Nestled in the Himalayas near Leh with views over the valley toward Nubra and Pangong, Shey Monastery sits beside the ruins of a former royal palace with old fortifications and a modest worship room; the King's Chapel retains some of its original charm."
Sonamarg,Ganderbal,Jammu and Kashmir,Hill Station,34.30146,75.29252,"valley, nature,glacier","trekking,sightsee,sledding","Summer,Winter",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a5/9b/89/thajiwas-glacier.jpg?w=600&h=-1&s=1,4.7,,,No review text was available for this Hill Station in the source data.
Spituk Monastery,Leh,Ladakh,Buddhist pilgrimage,34.1364,77.4984,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.tourmyindia.com/socialimg/spituk-monsatery-ladakh.jpg,4.2,0.995,Positive,"Founded in the 14th century by King Grags-pa-bum-lde, this Ge-lug-pa monastery sits atop a hill about 8km from Leh, offering views of the airport, Leh town, Shanti Stupa, and Leh Palace, with a Kali Mata temple at its peak. It hosts the annual Spituk Gustor festival, though some visitors find it less striking than Ladakh's other monasteries."
Srinagar,Srinagar,Jammu and Kashmir,Hill Station,34.083656,74.797371,"city,lake,heritage, culture","boating,sightsee,shopping",All Season,cultural,https://www.tourmyindia.com/socialimg/srinagar-tourism-kashmir.jpg,4.5,,,No review text was available for this Hill Station in the source data.
Stakana Monastery,Leh,Ladakh,Buddhist pilgrimage,33.996,77.69,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://d1bv4heaa2n05k.cloudfront.net/user-images/1488963107707/7shutterstock-263762033_main_1488963136953.jpeg,4.4,0.958,Positive,"A small monastery atop a hill near Leh, named for its hill's resemblance to a tiger's nose. Few visitors make it here, so travelers may need to seek out a monk (entry around ₹50) to unlock several beautifully decorated rooms and temples inside."
Stongdey Monastery,Kargil,Ladakh,Buddhist pilgrimage,34.286,33.5192,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://imgs.search.brave.com/R5e2xRghRa1xSAU09VcmqI0_FKt4Qi2aURAkiTtSJg4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zN2Fw/MS5zY2VuZTcuY29t/L2lzL2ltYWdlL2lu/Y3JlZGlibGVpbmRp/YS9zdG9uZ2RleS1t/b25hc3RlcnktMS1h/dHRyLWhlcm8_cWx0/PTgyJnRzPTE3MjY2/Njc4NTg5MDE,4.5,,,No review text was available for this Buddhist pilgrimage in the source data.
Sudh Mahadev,Udhampur,Jammu and Kashmir,Temple,33.0232,75.3625,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.jktdc.co.in/img/places/shudh.jpg,4.3,,,No review text was available for this Temple in the source data.
Surinsar Lake,Jammu,Jammu and Kashmir,Lake,32.7702338,75.0411006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/af/36/picnic-20190225-141339438.jpg?w=1200&h=1200&s=1,4.0,0.977,Positive,"A quiet, scenic lake in Jammu reached via a winding mountain road. It is known for fish-feeding rather than boating, with visitors spotting ducks, herons, and turtles, and locals selling fish food near the shore. Facilities are limited; visitors note a lack of proper eating spots and clean washrooms, and call for better protective barriers and stricter oversight of local boat operators."
Takht-e-Suleiman,Srinagar,Jammu and Kashmir,Muslim pilgrimage,34.0789,74.8145,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f2/9d/88/takht-e-seleman.jpg?w=1200&h=1200&s=1,4.5,,,No review text was available for this Muslim pilgrimage in the source data.
Thiksey Monastery,Leh,Ladakh,Buddhist pilgrimage,34.0566,77.667,"buddhist,pilgrimage,spiritual,monastery,heritage","worship,sightseeing,learning",All Season,peaceful,https://www.authenticindiatours.com/app/uploads/2022/04/Thiksey-Monastery-Leh-Ladakh-Jammu-and-Kashmir.jpg,4.5,0.992,Positive,"Perched on a hill about 19km east of Leh, Thiksey Monastery (Thiksey Gompa) is known for its towering Maitreya Buddha statue built in the 1980s, daily morning prayers open to visitors, richly painted interiors, and sweeping views over the Indus Valley — regarded as one of Ladakh's most memorable monasteries."
Tso Moriri Lake,Changthang,Ladakh,Lake,32.9128,78.31467,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://brownchinarkashmir.com/wp-content/uploads/2025/03/Tso-Moriri-Lake_brown_chinar_kashmir.jpg.webp,4.8,,,No review text was available for this Lake in the source data.
Tsokar Lake,Changthang,Ladakh,Lake,33.3333,78.006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tsokar.jpg,4.5,,,No review text was available for this Lake in the source data.
Vaishno Devi Temple,Reasi,Jammu and Kashmir,Temple,33.0301412,74.9479292,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/ca/ba/img-20190322-160253-425.jpg?w=1200&h=-1&s=1,4.6,0.917,Positive,"A major Hindu pilgrimage site reached via Katra, with logistics that can be booked well in advance — helicopter, train, hotel, and yatra permits. The shrine board keeps pathways well maintained with fixed rates for ponies and palkis, and food at subsidized prices. Even with the helicopter option, pilgrims still walk roughly 4km, and some report being overcharged by informal palki operators during peak festival season."
Wullar Lake,Bandipora,Jammu and Kashmir,Lake,34.3502521,74.5419994,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/13/61/e0/wular-lake.jpg?w=1200&h=-1&s=1,4.3,,,No review text was available for this Lake in the source data.
